Title,Number,URL,Price,EvaluationClass,Genre
NEXT FUNDS Nikkei 225 Leveraged Index Exchange Traded Fund,1570,https://walletinvestor.com//tse-stock-forecast/1570-stock-prediction,,,
Lasertec Corp,6920,https://walletinvestor.com//tse-stock-forecast/6920-stock-prediction,"42,360",上出来,電気機器
Nippon Yusen K.K,9101,https://walletinvestor.com//tse-stock-forecast/9101-stock-prediction,"4,171",悪い,海運業
Sony Corp,6758,https://walletinvestor.com//tse-stock-forecast/6758-stock-prediction,"13,110",普通,電気機器
Asmarq Co. Ltd,5595,https://walletinvestor.com//tse-stock-forecast/5595-stock-prediction,"4,530",悪い,情報・通信業
Softbank Group Corp.,9984,https://walletinvestor.com//tse-stock-forecast/9984-stock-prediction,,,
Fast Retailing Co. Ltd.,9983,https://walletinvestor.com//tse-stock-forecast/9983-stock-prediction,"46,360",上出来,小売業
Tokyo Electron Limited,8035,https://walletinvestor.com//tse-stock-forecast/8035-stock-prediction,"38,930",悪い,電気機器
Toyota Motor Corp,7203,https://walletinvestor.com//tse-stock-forecast/7203-stock-prediction,"3,850",上出来,輸送用機器
Kawasaki Kisen Kaisha Ltd.,9107,https://walletinvestor.com//tse-stock-forecast/9107-stock-prediction,"6,379",悪い,海運業
Mitsui O.S.K. Lines Ltd.,9104,https://walletinvestor.com//tse-stock-forecast/9104-stock-prediction,"4,726",悪い,海運業
BayCurrent Consulting Inc,6532,https://walletinvestor.com//tse-stock-forecast/6532-stock-prediction,"2,959.5",上出来,サービス業
Keyence,6861,https://walletinvestor.com//tse-stock-forecast/6861-stock-prediction,,,
Mitsubishi UFJ Financial Group Inc,8306,https://walletinvestor.com//tse-stock-forecast/8306-stock-prediction,,,
Advantest Corp.,6857,https://walletinvestor.com//tse-stock-forecast/6857-stock-prediction,"6,754",悪い,電気機器
KOKUSAI ELECTRIC CORPORATION,6525,https://walletinvestor.com//tse-stock-forecast/6525-stock-prediction,"3,785",悪い,電気機器
NEXT FUNDS Nikkei 225 Double Inverse Index Exchange Traded Fund,1357,https://walletinvestor.com//tse-stock-forecast/1357-stock-prediction,,,
Recruit Holdings Co Ltd,6098,https://walletinvestor.com//tse-stock-forecast/6098-stock-prediction,"6,557",上出来,サービス業
Sumitomo Mitsui Financial,8316,https://walletinvestor.com//tse-stock-forecast/8316-stock-prediction,,,
Nintendo Co Ltd,7974,https://walletinvestor.com//tse-stock-forecast/7974-stock-prediction,"8,308",上出来,その他製品
Mitsubishi Heavy Industries Ltd.,7011,https://walletinvestor.com//tse-stock-forecast/7011-stock-prediction,"13,860",上出来,機械
Hitachi Ltd,6501,https://walletinvestor.com//tse-stock-forecast/6501-stock-prediction,"13,800",悪い,電気機器
Rakuten-Nikkei 225 Leveraged,1458,https://walletinvestor.com//tse-stock-forecast/1458-stock-prediction,,,
VRAIN Solution Inc,135A,https://walletinvestor.com//tse-stock-forecast/135a-stock-prediction,"6,680",上出来,情報・通信業
Shin-Etsu Chemical Co. Ltd.,4063,https://walletinvestor.com//tse-stock-forecast/4063-stock-prediction,"6,848",悪い,化学
KDDI Corp.,9433,https://walletinvestor.com//tse-stock-forecast/9433-stock-prediction,,,
Takeda Pharmaceutical Co. Ltd.,4502,https://walletinvestor.com//tse-stock-forecast/4502-stock-prediction,"4,382",悪い,医薬品
M3 Inc,2413,https://walletinvestor.com//tse-stock-forecast/2413-stock-prediction,"2,163.0",普通,サービス業
Mitsubishi Corp.,8058,https://walletinvestor.com//tse-stock-forecast/8058-stock-prediction,,,
Nidec Corp,6594,https://walletinvestor.com//tse-stock-forecast/6594-stock-prediction,"6,327",上出来,電気機器
Nippon Telegraph & Telephone Corp,9432,https://walletinvestor.com//tse-stock-forecast/9432-stock-prediction,184.2,上出来,情報・通信業
DENSO Corporation,6902,https://walletinvestor.com//tse-stock-forecast/6902-stock-prediction,"2,912.0",上出来,輸送用機器
Renesas Electronics Corp,6723,https://walletinvestor.com//tse-stock-forecast/6723-stock-prediction,,,
Rakuten-Nikkei 225 Double Inverse,1459,https://walletinvestor.com//tse-stock-forecast/1459-stock-prediction,,,
SoftBank Corp,9434,https://walletinvestor.com//tse-stock-forecast/9434-stock-prediction,,,
Honda Motor Co Ltd,7267,https://walletinvestor.com//tse-stock-forecast/7267-stock-prediction,"1,880.0",上出来,輸送用機器
